.......ap57..........     .......ap90..........
  8520 uYC                7686 uMC         
  8525 uW                 7690 uW          
  8532 uqqI               7695 uqqI        
  8554 utkacay           ---------------
  8557 utkaw              7715 utkaw       
  8562 utkaRWate          7720 utkaMWate   
  8620 utkam              7775 utkam       
  8566 utkamp             7724 utkaMp      
  8552 utkayati           7711 utkayati    
  8575 utkalApayati       7733 utkalApayati
  8551 utkAyate           7710 utkAyate    
  8628 utkuS              7783 utkuS       
  8593 utkf               7750 utkf        
  8595 utkft              7752 utkft       
  8597 utkfz              7754 utkfz       
  8604 utkF               7761 utkF        
  8612 utkFt              7769 utkFt       
  8632 utkliS             7787 utkliS      
  8638 utkvaTa           ---------------
  8639 utkzip             7793 utkzip      
  8646 utKan              7800 utKan       
  8650 utKid              7804 utKid       
  8655 uttaMsayati        7808 uttaMsayati 
  8658 uttan              7811 uttan       
  8663 uttap              7816 uttap       
  8668 uttam              7820 uttam       
  8675 uttamB             7826 uttaMB      
  8694 uttij              7844 uttij       
  8700 uttul              7850 uttul       
  8703 uttF               7853 uttF        
  8716 uttras             7866 uttras      
  8721 utTA               7869 utTA        
  8735 utpaw              7881 utpaw       
  8742 utpat              7888 utpat       
  8753 utpad              7896 utpad       
  8770 utpiz              7911 utpiz       
  8772 utpIq              7913 utpIq       
  8776 utpucCayate        7917 utpucCayate 
  8780 utpU               7921 utpU        
  8790 utprekz            7931 utprekz     
  8794 utplu              7934 utplu       
  8799 utPal              7937 utPal       
  8813 utsad              7948 utsad       
  8822 utsah              7956 utsah       
  8827 utsic              7961 utsic       
  8832 utsu              ---------------
  8835 utsukayati         7968 utsukayati  
  8836 utsukAyate         7969 utsukAyate  
  8846 utsfj              7977 utsfj       
  8854 utsfp              7984 utsfp       
  8860 utsmi              7988 utsmi       
  8866 utsvapnAyate       7992 utsvapnAyate
  8877 udagrayati         8001 udagrayati  
  8878 udaj               8002 udaj        
  8881 udaYc              8005 udaMc       
  8895 udan               8018 udan        
  8900 udanyati           8023 udanyati    
  8908 udapAs            ---------------
  8929 udas               8048 udas        
  8939 udAnI             ---------------
  8948 udAs               8062 udAs        
  8954 udAhf              8068 udAhf       
  8959 udi                8073 udi         
  8968 udIkz              8081 udIkz       
  8972 udIr               8085 udIr        
  8981 ude               ---------------
  8987 udgam              8097 udgam       
  8997 udgur              8105 udgur       
  8999 udgF               8107 udgF        
  9004 udgE               8111 udgE        
  9011 udgranT            8116 udgraMT     
  9015 udgrah             8119 udgrah      
  9025 udGaw              8129 udGaw       
  9037 udGuz              8140 udGuz       
  9040 udGfz              8143 udGfz       
  9059 uddiS              8157 uddiS       
  9068 uddIp              8164 uddIp       
  9075 uddfS              8170 uddfS       
  9079 uddyut             8173 uddyut      
  9083 udDan              8176 udDan       
  9093 udDA               8186 udDA        
  9100 udDU               8192 udDU        
  9105 udDUlayati         8197 udDUlayati  
  9108 udDf               8199 udDf        
  9117 udDmA              8206 udDmA       
  9122 udbanD             8211 udbaMD      
  9131 udbuD              8219 udbuD       
  9139 udBAs              8225 udBAs       
  9142 udBid              8228 udBid       
  9147 udBU               8233 udBU        
  9154 udBram             8240 udBram      
  9160 udyam              8245 udyam       
  9170 udyA               8254 udyA        
  9178 udyuj              8261 udyuj       
  9200 udvap              8278 udvap       
  9203 udvam              8281 udvam       
  9209 udvas              8286 udvas       
  9214 udvah              8291 udvah       
  9227 udvAS             ---------------
  9230 udvij              8304 udvij       
  9237 udvIkz             8310 udvIkz      
  9239 udvIj              8312 udvIj       
  9242 udvft              8315 udvft       
  9249 udvfh              8321 udvfh       
  9255 udvell             8327 udvell      
  9260 udvezwayati        8331 udvezwayati 
  9262 udvyudas          ---------------
  9264 uDras              8334 uDras       
  9265 und                8335 uMd         
  9269 unnad              8339 unnad       
  9271 unnam              8341 unnam       
  9282 unnah              8352 unnah       
  9290 unnI               8358 unnI        
  9297 unmajj             8364 unmajj      
  9302 unmaT              8367 unmaT       
  9309 unmad              8374 unmad       
  9322 unmanAyate         8387 unmanAyate  
  9324 unmanIkf           8388 unmanIkf    
  9325 unmanIBU          ---------------
  9338 unmiz              8399 unmiz       
  9343 unmIl              8404 unmIl       
  9349 unmuc              8409 unmuc       
  9354 unmUl              8413 unmUl       
  9357 unmfj              8415 unmfj       
  9361 unmfd             ---------------
  9370 upakarR            8426 upakarR     
  9384 upakUj             8436 upakUj      
  9388 upakf              8440 upakf       
  9400 upakF              8451 upakF       
  9403 upakxp             8453 upakxp      
  9409 upakram            8457 upakram     
  9419 upakruS            8466 upakruS     
  9424 upakzi             8471 upakzi      
  9429 upakzip            8476 upakzip     
  9436 upagam             8481 upagam      
  9444 upagAh            ---------------
  9449 upaguh             8492 upaguh      
  9453 upagF             ---------------
  9454 upagE              8496 upagE       
  9463 upagras           ---------------
  9464 upagrah            8502 upagrah     
  9471 upaGuz             8508 upaGuz      
  9475 upaGrA            ---------------
  9479 upacar             8514 upacar      
  9488 upaci              8521 upaci       
  9500 upacCand           8530 upacCaMd    
  9504 upacCal           ---------------
  9506 upajan             8534 upajan      
  9512 upajap             8540 upajap      
  9517 upajalp            8545 upajalp     
  9523 upajIv             8550 upajIv      
  9530 upajYA             8557 upajYA      
  9539 upatap             8565 upatap      
  9556 upadaMS            8579 upadaMS     
  9561 upadas             8583 upadas      
  9563 upadA              8585 upadA       
  9571 upadiS             8592 upadiS      
  9566 upadIkf            8587 upadIkf     
  9584 upadfS             8605 upadfS      
  9593 upadru             8613 upadru      
  9600 upaDA              8619 upaDA       
  9611 upaDAv             8628 upaDAv      
  9615 upaDf              8632 upaDf       
  9618 upaDmA             8635 upaDmA      
  9627 upanam             8644 upanam      
  9632 upanah             8648 upanah      
  9641 upanikzip          8655 upanikzip   
  9643 upaniDA            8657 upaniDA     
  9648 upanipat           8662 upanipat    
  9651 upanibanD          8665 upanibaMD   
  9655 upanimreq         ---------------
  9666 upanizev          ---------------
  9669 upanI              8675 upanI       
  9680 upanft             8684 upanft      
  9683 upanyas            8686 upanyas     
  9691 upapad             8693 upapad      
  9710 upapIq             8709 upapIq      
  9724 upaplu             8722 upaplu      
  9739 upaBuj             8736 upaBuj      
  9747 upaBf             ---------------
  9753 upamantr           8746 upamaMtr    
  9759 upamA              8752 upamA       
  9773 upamfd             8766 upamfd      
  9783 upayam             8773 upayam      
  9788 upayA              8778 upayA       
  9792 upayAc             8782 upayAc      
  9798 upayuj             8787 upayuj      
  9807 uparaYj            8795 uparaMj     
  9816 uparam             8801 uparam      
  9821 uparamB           ---------------
  9829 uparuD             8812 uparuD      
  9838 upalakz            8821 upalakz     
  9844 upalaB             8827 upalaB      
  9853 upalal             8836 upalal      
  9857 upalip             8840 upalip      
  9861 upalI             ---------------
  9868 upavad             8846 upavad      
  9872 upavarR            8850 upavarR     
  9879 upavas             8857 upavas      
  9891 upavah             8866 upavah      
  9906 upaviS             8880 upaviS      
  9913 upavIkz           ---------------
  9914 upavIRayati        8885 upavIRayati 
  9921 upavft             8890 upavft      
  9931 upaSak            ---------------
  9932 upaSam             8899 upaSam      
  9949 upaSI              8915 upaSI       
  9954 upaSuB             8919 upaSuB      
  9959 upaSru             8923 upaSru      
  9964 upaSliz            8928 upaSliz     
  9968 upaSlokayati       8931 upaSlokayati
  9979 upasaMvraj        ---------------
  9980 upasaMskf          8940 upasaMskf   
  9984 upasaMhf           8942 upasaMhf    
  9993 upasaMgrah         8950 upasaMgrah  
  9996 upasaYj           ---------------
  9998 upasad             8953 upasad      
 10007 upasaMDA           8961 upasaMDA    
 10012 upasamADA          8965 upasamADA   
 10015 upasaMpad          8968 upasaMpad   
 10020 upasAD            ---------------
 10021 upasAntv           8973 upasAMtv    
 10027 upasf              8979 upasf       
 10031 upasfj             8983 upasfj      
 10036 upasfp             8987 upasfp      
 10042 upasev             8993 upasev      
 10047 upaskf             8997 upaskf      
 10053 upastamB           9003 upastaMB    
 10059 upastu             9008 upastu      
 10062 upastf             9011 upastf      
 10067 upasTA             9015 upasTA      
 10079 upasnehayati       9027 upasnehayati
 10081 upaspfS            9028 upaspfS     
 10088 upahan             9035 upahan      
 10098 upahas             9044 upahas      
 10104 upahA             ---------------
 10106 upahf              9051 upahf       
 10116 upahve             9058 upahve      
 10128 upAkam            ---------------
 10124 upAkf              9065 upAkf       
 10130 upAKyA             9070 upAKyA      
 10133 upAgam             9073 upAgam      
 10139 upAGrA            ---------------
 10141 upAcar             9079 upAcar      
 10148 upAdA              9085 upAdA       
 10153 upADA              9090 upADA       
 10172 upAram             9107 upAram      
 10176 upArud            ---------------
 10178 upArj              9111 upArj       
 10183 upAlaB             9115 upAlaB      
 10189 upAviS            ---------------
 10191 upAvft             9120 upAvft      
 10197 upASri             9126 upASri      
 10201 upAs               9129 upAs        
 10215 upAhf              9140 upAhf       
 10217 upe                9142 upe         
 10228 upekz              9152 upekz       
 10233 upeqakIy          ---------------
 10243 upodbalayati       9164 upodbalayati
 10247 upoh               9168 upoh        
 10251 ubj                9172 ubj         
 10252 uB                 9173 uB          
 10269 ur                 9188 ur          
 10277 urarIkf            9196 urarIkf     
 10287 urasyati           9206 urasyati    
 10291 urIkf              9210 urIkf       
 10298 uruzyati           9215 uruzyati    
 10308 urj                9225 urj         
 10312 urd                9229 urd         
 10314 urv                9231 urv         
 10323 ul                 9240 ul          
 10325 ulaq              ---------------
 10351 ullaNG             9262 ullaMG      
 10370 ullap              9279 ullap       
 10358 ullalayati         9269 ullalayati  
 10359 ullas              9270 ullas       
 10375 ulliK              9284 ulliK       
 10404 uz                 9308 uz          
 10438 uh                 9341 uh          
 10452 Un                ---------------
 10455 Unayati            9352 Unayati     
 10459 Uy                 9356 Uy          
 10466 Urj               ---------------
 10469 Urjayati           9364 Urjayati    
 10480 UrRu               9375 UrRu        
 10498 Uz                 9393 Uz          
 10503 UzarAyate          9398 UzarAyate   
 10511 UzmAyate           9404 UzmAyate    
 10512 Uh                 9405 Uh          
 10520 f                  9413 f           
 10524 fkz               ---------------
 10530 fGAyati            9422 fGAyati     
 10532 fc                 9424 fc          
 10540 fcC                9432 fcC         
 10543 fj                 9435 fj          
 10553 fjUkf              9444 fjUkf       
 10554 fjUyati            9445 fjUyati     
 10560 fYj                9450 fMj         
 10562 fR                ---------------
 10567 ft                 9456 ft          
 10570 ftayati            9459 ftayati     
 10579 ftIyati            9468 ftIyati     
 10590 fD                 9479 fD          
 10597 fP                 9485 fP          
 10609 fz                 9496 fz          
 10627 F                  9513 F           
 10630 e                  9516 e           
 10653 ekIkf              9534 ekIkf       
 10654 ekIBU              9535 ekIBU       
 10657 ej                 9538 ej          
 10665 eW                 9545 eW          
 10687 eD                 9566 eD          
 10711 elAyati            9590 elAyati     
 10717 ez                 9596 ez          
 10838 oK                 9700 oK          
 10843 oj                 9704 oj          
 10848 ojAyate            9709 ojAyate     
 10856 oR                 9716 oR          
 10862 odanIyati          9722 odanIyati   
 10876 olaj              ---------------
 10877 olaRq              9734 olaMq       
 11066 OzaDIkf            9899 OzaDIkf     
 11085 kaMs               9916 kaMs        
 11092 kak                9923 kak         
 11110 kakk               9940 kakk        
 11114 kakK               9944 kakK        
 11119 kakzAyate          9949 kakzAyate   
 11122 kaK                9952 kaK         
 11124 kag                9954 kag         
 11125 kaNk               9955 kaMk        
 11148 kac                9975 kac         
 11170 kaj                9996 kaj         
 11176 kaYc              10001 kaMc        
 11195 kaw               10016 kaw         
 11196 kaw               10017 kaw         
 11207 kawakawApayati      10027 kawakawApayati
 11236 kaww              ---------------
 11242 kaW               10055 kaW         
 11260 kaWorayati        10070 kaWorayati  
 11263 kaq               10072 kaq         
 11278 kaqq              10083 kaqq        
 11279 kaR               10084 kaR         
 11294 kaRw              10099 kaMw        
 11309 kaRW              10112 kaMW        
 11320 kaRq              10122 kaMq        
 11331 kaRqUyati         10132 kaMqUyati   
 11359 katT              10158 katT        
 11362 katr              10161 katr        
 11364 kaT               10163 kaT         
 11373 kaTApayati        10170 kaTApayati  
 11376 kaTIkf            10173 kaTIkf      
 11380 kad               10177 kad         
 11398 kan               10195 kan         
 11405 kanayati          10201 kanayati    
 11423 kand              10217 kaMd        
 11454 kap               10245 kap         
 11492 kab               10281 kab         
 11501 kam               10289 kam         
 11515 kamp              10302 kaMp        
 11522 kamb              10309 kaMb        
 11590 kark              10367 kark        
 11613 karj              10387 karj        
 11614 karR              10388 karR        
 11631 kart              10401 kart        
 11643 kartr             ---------------
 11646 kard              10414 kard        
 11662 karb              10428 karb        
 11676 karv              10442 karv        
 11692 kal               10456 kal         
 11700 kalaNkayati       10464 kalaMkayati 
 11750 kaluzIkf          10511 kaluzIkf    
 11774 kall              10534 kall        
 11781 kav               10540 kav         
 11793 kavalayati        10551 kavalayati  
 11809 kaS               10566 kaS         
 11820 kaz               10577 kaz         
 11837 kazwAya           ---------------
 11838 kas               10593 kas         
 11883 kANkz             10629 kAMkz       
 11901 kAYc              10642 kAMc        
 12164 kAS               10856 kAS         
 12195 kAs               10881 kAs         
 12213 ki                ---------------
 12225 kiw               10904 kiw         
 12235 kit               10913 kit         
 12263 kil               10936 kil         
 12289 kIw               10960 kIw         
 12309 kIl               10977 kIl         
 12320 ku                10986 ku          
 12321 kuMS              10987 kuMS        
 12322 kuk               10988 kuk         
 12340 kuc               11004 kuc         
 12346 kuj               ---------------
 12355 kuYj              11018 kuMj        
 12359 kuw               11022 kuw         
 12383 kuww              11044 kuww        
 12410 kuq               11071 kuq         
 12422 kuR               11081 kuR         
 12429 kuRW              11087 kuMW        
 12433 kuRq              11091 kuMq        
 12460 kuts              11110 kuts        
 12464 kuT               11113 kuT         
 12482 kuntr             ---------------
 12483 kunT              11128 kuMT        
 12489 kup               11134 kup         
 12513 kumAr             ---------------
 12516 kumArayati        11156 kumArayati  
 12528 kumb              ---------------
 12540 kur               11177 kur         
 12575 kul               11212 kul         
 12654 kuz               11281 kuz         
 12659 kuzuByati         11286 kuzuByati   
 12666 kus               11292 kus         
 12675 kusumaya          ---------------
 12687 kusmayate         11308 kusmayate   
 12688 kuh               11309 kuh         
 12700 kU                11320 kU          
 12705 kUj               11325 kUj         
 12707 kUw               11327 kUw         
 12711 kUq               11331 kUq         
 12713 kUR               11333 kUR         
 12720 kUp               11340 kUp         
 12734 kUrd              11354 kUrd        
 12742 kUl               11360 kUl         
 12757 kf                11373 kf          
 12780 kfcCrAyate        11392 kfcCrAyate  
 12782 kft               11394 kft         
 12799 kfp               11408 kfp         
 12803 kfpaRyati         11412 kfpaRyati   
 12808 kfpAyate          11417 kfpAyate    
 12818 kfv               11427 kfv         
 12819 kfS               11428 kfS         
 12826 kfz               11435 kfz         
 12838 kfzRAyate         11447 kfzRAyate   
 12843 kF                11452 kF          
 12844 kFt               11453 kFt         
 12846 kxp               11454 kxp         
 12859 ketayati          11466 ketayati    
 12872 kep               11476 kep         
 12878 kel               11481 kel         
 12880 kelAyate          11483 kelAyate    
 12885 kev               11488 kev         
 12906 kE                11505 kE          
 13012 kozWakIkf         11592 kozWakIkf   
 13013 kozWIkf           ---------------
 13113 knaT              11677 knaT        
 13114 knas              11678 knas        
 13115 knUy              11679 knUy        
 13116 kmar              ---------------
 13121 kraT              11683 kraT        
 13124 krad              ---------------
 13125 krand             11686 kraMd       
 13130 krap              11691 krap        
 13131 krap              ---------------
 13132 kram              11692 kram        
 13148 kraSayati         11707 kraSayati   
 13159 krI               11717 krI         
 13171 krIq              11729 krIq        
 13180 kruYc             11737 kruMc       
 13183 kruq              11740 kruq        
 13184 kruT              11741 kruT        
 13186 kruD              11743 kruD        
 13195 krunT             11752 kruMT       
 13198 kruS              11754 kruS        
 13206 kroqIkf           ---------------
 13217 klaT              11768 klaT        
 13218 kland             11769 klaMd       
 13219 klam              11770 klam        
 13223 klav              11774 klav        
 13224 klid              11775 klid        
 13232 klind             11782 kliMd       
 13234 kliS              11784 kliS        
 13245 klIb              11791 klIb        
 13248 klu               11794 klu         
 13249 kleS              11795 kleS        
 13256 kvaR              11801 kvaR        
 13260 kvaT              11803 kvaT        
 13266 kvel              11809 kvel        
 13268 kzaYj             11811 kzaMj       
 13269 kzaR              11812 kzaR        
 13286 kzad              11828 kzad        
 13290 kzap              11831 kzap        
 13302 kzam              11839 kzam        
 13307 kzamApayati       11847 kzamApayati 
 13315 kzamp             ---------------
 13317 kzar              11854 kzar        
 13328 kzal              11865 kzal        
 13325 kzArayati         11862 kzArayati   
 13343 kzi               11878 kzi         
 13358 kziR              11892 kziR        
 13360 kzip              11894 kzip        
 13382 kziv              11915 kziv        
 13383 kzI               11916 kzI         
 13384 kzIj              11917 kzIj        
 13390 kzIrayati         11922 kzIrayati   
 13391 kzIrasyati        ---------------
 13396 kzIv              11926 kzIv        
 13398 kzu               11928 kzu         
 13399 kzu               ---------------
 13407 kzud              11935 kzud        
 13423 kzuD              11949 kzuD        
 13428 kzund             ---------------
 13430 kzuB              11955 kzuB        
 13438 kzur              11963 kzur        
 13451 kzetrIkf          11975 kzetrIkf    
 13450 kzetrIyati        11974 kzetrIyati  
 13456 kzE               11980 kzE         
 13475 kzRu              11997 kzRu        
 13479 kzmAy             12001 kzmAy       
 13480 kzmIl             12002 kzmIl       
 13481 kzviq             12003 kzviq       
 13482 kzviq             12004 kzviq       
 13487 kzvel             12009 kzvel       
 13490 KakK              12012 KakK        
 13495 Kac               12017 Kac         
 13497 Kaj               12019 Kaj         
 13505 KaYj              12025 KaMj        
 13511 Kaw               12031 Kaw         
 13518 Kaww              12038 Kaww        
 13527 Kawvayati         12046 Kawvayati   
 13539 KaRaKaRAyate      12058 KaRaKaRAyate
 13540 KaRq              12059 KaMq        
 13550 KaRqIkf           12069 KaMqIkf     
 13554 Kad               12071 Kad         
 13557 Kan               12074 Kan         
 13586 Karj              12099 Karj        
 13595 Kard              12107 Kard        
 13605 Kal               12114 Kal         
 13628 Kav               12133 Kav         
 13631 Kaz               12136 Kaz         
 13648 KAd               12151 KAd         
 13670 Kiw               12169 Kiw         
 13672 Kid               12171 Kid         
 13682 Ku                12181 Ku          
 13683 Kuj               12182 Kuj         
 13684 Kuq               12183 Kuq         
 13687 KuRq              12185 KuMq        
 13688 Kur               12186 Kur         
 13696 Kurd              12193 Kurd        
 13701 Kew               12197 Kew         
 13709 Kel               12203 Kel         
 13713 Kev               12207 Kev         
 13717 Kow               12211 Kow         
 13725 KyA               12218 KyA         
 13733 gagG              12226 gagG        
 13740 gaj               12232 gaj         
 13745 gaYj              12236 gaMj        
 13749 gaq               12240 gaq         
 13762 gaR               12252 gaR         
 13781 gaRq              ---------------
 13798 gad               12285 gad         
 13807 gadgadayati       12293 gadgadayati 
 13810 gaD               12296 gaD         
 13812 ganD              12298 gaMD        
 13831 gam               12317 gam         
 13873 garj              12358 garj        
 13882 gard              12365 gard        
 13900 garv              12381 garv        
 13904 garh              12385 garh        
 13909 gal               12390 gal         
 13922 galB              12402 galB        
 13928 galh              12408 galh        
 13947 gavez             12426 gavez       
 13951 gah               12430 gah         
 13958 gA                12437 gA          
 13990 gAD               12459 gAD         
 14043 gAh               12509 gAh         
 14056 gil               12522 gil         
 14070 gu                12535 gu          
 14076 guj               12540 guj         
 14084 guq               12548 guq         
 14095 guR               12558 guR         
 14112 guRW              12574 guMW        
 14115 guRq              12577 guMq        
 14124 gud               12585 gud         
 14126 guD               12587 guD         
 14131 gundr             12592 guMdr       
 14133 gup               12594 gup         
 14151 guP               12610 guP         
 14156 gur               12614 gur         
 14166 gurv              12623 gurv        
 14178 guh               12634 guh         
 14189 gU                12644 gU          
 14197 gUrd              12652 gUrd        
 14199 gUrD              12654 gUrD        
 14202 gf                12657 gf          
 14203 gfj               12658 gfj         
 14208 gfD               12662 gfD         
 14224 gfh               ---------------
 14233 gfhIBU            12681 gfhIBU      
 14239 gF                12687 gF          
 14243 gep               12691 gep         
 14244 gev               12692 gev         
 14245 gez               12693 gez         
 14250 gE                12698 gE          
 14269 gom               ---------------
 14294 gozW              12734 gozW        
 14334 graT              12771 graT        
 14339 granT             12775 graMT       
 14349 gras              12784 gras        
 14355 grah              12790 grah        
 14380 grAmayati         12815 grAmayati   
 14394 gruc              12827 gruc        
 14401 glas              12832 glas        
 14402 glah              12833 glah        
 14404 gluc              12835 gluc        
 14405 gluYc             12836 gluMc       
 14406 glep              12837 glep        
 14407 glev              12838 glev        
 14408 glez              12839 glez        
 14409 glE               12840 glE         
 14417 GaMz              12847 GaMz        
 14418 GagG              12848 GagG        
 14419 Gaw               12849 Gaw         
 14433 Gaww              12863 Gaww        
 14438 GaR               12868 GaR         
 14439 GaRw              12869 GaMw        
 14450 GanIkf            12877 GanIkf      
 14451 GanIBU            12878 GanIBU      
 14452 GanIyati          12879 GanIyati    
 14454 Gamb              12881 GaMb        
 14455 Gar               12882 Gar         
 14463 Garb              12889 Garb        
 14465 Gas               12891 Gas         
 14486 GiRR              ---------------
 14487 Gu                12910 Gu          
 14489 Guw               12912 Guw         
 14491 Guq               12914 Guq         
 14492 GuR               12915 GuR         
 14499 Gur               12920 Gur         
 14501 GuraGurAyate      12922 GuraGurAyate
 14505 GurGurAyate       12926 GurGurAyate 
 14508 Guz               12929 Guz         
 14521 GUr               12941 GUr         
 14522 GUrR              12942 GUrR        
 14526 Gf                12946 Gf          
 14532 GfR               12952 GfR         
 14539 Gfz               12959 Gfz         
 14559 GrA               12978 GrA         
 14567 Nu                12985 Nu          
 14569 cak               12987 cak         
 14571 cakAs             12989 cakAs       
 14574 cakk              12992 cakk        
 14585 cakrIkf           13002 cakrIkf     
 14587 cakz              13004 cakz        
 14601 caYc              13018 caMc        
 14611 caw               13027 caw         
 14620 cawacawAyate      13035 cawacawAyate
 14617 cawulaya          ---------------
 14622 caR               13037 caR         
 14625 caRq              ---------------
 14632 caRqIkf           13046 caMqIkf     
 14638 cat               13052 cat         
 14654 cad               13068 cad         
 14656 can               13070 can         
 14659 canasyati         13073 canasyati   
 14662 cand              13076 caMd        
 14682 cap               13093 cap         
 14688 capalAyate        13099 capalAyate  
 14692 cam               13102 cam         
 14703 camp              13111 caMp        
 14711 camb              13118 caMb        
 14713 cay               13120 cay         
 14715 car               13121 car         
 14733 carG              13139 carG        
 14734 carc              13140 carc        
 14750 carb              13155 carb        
 14762 carv              13167 carv        
 14768 cal               13173 cal         
 14781 caz               13182 caz         
 14785 cah               13186 cah         
 14857 cAy               13252 cAy         
 14888 ci                13280 ci          
 14916 cikk              13307 cikk        
 14929 ciw               13320 ciw         
 14931 cit               13321 cit         
 14947 citrayati         13336 citrayati   
 14954 citrIkf           13343 citrIkf     
 14957 citrIyate         13346 citrIyate   
 14959 cint              13348 ciMt        
 14980 cirAyati          13367 cirAyati    
 14983 ciri              13369 ciri        
 14986 cil               13372 cil         
 14989 cill              13374 cill        
 14997 cihn              13381 cihn        
 15000 cIk               13384 cIk         
 15006 cIB               13388 cIB         
 15017 cIv               13397 cIv         
 15020 cukk              13400 cukk        
 15030 cucy              ---------------
 15033 cuw               13411 cuw         
 15034 cuww              13412 cuww        
 15035 cuq               13413 cuq         
 15036 cuqq              13414 cuqq        
 15037 cuR               13415 cuR         
 15038 cuRw              13416 cuMw        
 15039 cuRq              13417 cuMq        
 15041 cut               13419 cut         
 15043 cud               13421 cud         
 15051 cup               13429 cup         
 15057 cumb              13433 cuMb        
 15063 cur               13439 cur         
 15072 cul               13448 cul         
 15075 culump            13451 culuMp      
 15079 cull              13454 cull        
 15084 cust              ---------------
 15093 cUR               13467 cUR         
 15097 cUr               13471 cUr         
 15099 cUrR              13473 cUrR        
 15107 cUrRIkf           13481 cUrRIkf     
 15108 cUrRIBU           13482 cUrRIBU     
 15114 cUz               13488 cUz         
 15120 cft               13494 cft         
 15129 cel               13501 cel         
 15133 cell              13505 cell        
 15134 cezw              13506 cezw        
 15169 cyu               13540 cyu         
 15176 cyut              13545 cyut        
 15179 cyus              13548 cyus        
 15193 CatrIkf           ---------------
 15195 Cad               13563 Cad         
 15203 Cand              13570 CaMd        
 15211 Cam               13578 Cam         
 15214 Camp              13581 CaMp        
 15218 Card              13582 Card        
 15223 Calayati          13587 Calayati    
 15231 Caz               13594 Caz         
 15253 Cid               13615 Cid         
 15263 Cidrayati         13625 Cidrayati   
 15278 Cuw               13638 Cuw         
 15279 Cuq               13639 Cuq         
 15281 Cup               13641 Cup         
 15284 Cur               13644 Cur         
 15292 Cfd               13650 Cfd         
 15293 Cfz               13651 Cfz         
 15300 Co                13657 Co          
 15306 Cyu               13662 Cyu         
 15309 jaMs              13664 jaMs        
 15311 jakz              13666 jakz        
 15337 jaj               13689 jaj         
 15339 jajJ              13691 jajJ        
 15343 jaw               13694 jaw         
 15351 jawilaya          ---------------
 15352 jawilIkf          13702 jawilIkf    
 15360 jaqayati          13710 jaqayati    
 15362 jaqIkf            13712 jaqIkf      
 15363 jaqIBU            13713 jaqIBU      
 15373 jan               13721 jan         
 15395 janIyati          13743 janIyati    
 15407 jap               13754 jap         
 15413 jaB               13759 jaB         
 15414 jam               13760 jam         
 15453 jarc              13796 jarc        
 15457 jarjarIkf         13800 jarjarIkf   
 15458 jarJ              13802 jarJ        
 15462 jarts             13805 jarts       
 15465 jal               13807 jal         
 15475 jalp              13816 jalp        
 15491 jaz               13832 jaz         
 15492 jas               13833 jas         
 15506 jAgf              13846 jAgf        
 15600 ji                13924 ji          
 15639 jinv              13960 jinv        
 15636 jim               13958 jim         
 15637 jiri              13959 jiri        
 15640 jiz               13961 jiz         
 15645 jihmAyati         13966 jihmAyati   
 15660 jIv               13980 jIv         
 15680 ju                ---------------
 15684 juNg              14000 juMg        
 ---------------      14004 juq         
 15688 jut               14005 jut         
 15689 jun               14006 jun         
 15691 jur               14008 jur         
 15695 jul               14011 jul         
 15697 juz               14013 juz         
 15711 jU                14025 jU          
 15719 jUr               14033 jUr         
 15722 jUrv              14036 jUrv        
 15723 jUz               14037 jUz         
 15725 jf                14039 jf          
 ---------------      14040 jfB         
 15727 jfmB              ---------------
 15732 jF                14045 jF          
 15742 jez               14052 jez         
 15743 jeh               14053 jeh         
 15744 jE                14054 jE          
 15769 jYA               14069 jYA         
 15784 jYAnIyati         14083 jYAnIyati   
 15791 jyA               14089 jyA         
 15804 jyu               14102 jyu         
 15805 jyut              14103 jyut        
 15807 jyo               14105 jyo         
 15821 jri               14117 jri         
 15822 jvar              14118 jvar        
 15825 jval              14121 jval        
 15834 JagaJagAyate      14130 JagaJagAyate
 15841 Jaw               14137 Jaw         
 15847 Jam               14143 Jam         
 15854 Jarc              14147 Jarc        
 15870 Jaz               14162 Jaz         
 15902 JUz               ---------------
 15903 JF                14184 JF          
 15909 Jyu               14186 Jyu         
 15915 waNk              14190 waMk        
 15931 wal               14204 wal         
 15937 wik               14210 wik         
 15940 wip               14212 wip         
 15943 wIk               14215 wIk         
 15950 wval              14221 wval        
 15959 qap               14228 qap         
 15960 qam               14229 qam         
 15966 qamb              14234 qaMb        
 15968 qamB              14236 qaMB        
 15986 qip               14250 qip         
 15987 qim               14251 qim         
 15991 qimB              ---------------
 15994 qI                14257 qI          
 16004 qval              14266 qval        
 16017 QOk               14275 QOk         
 16025 taMs              14279 taMs        
 16026 tak               14280 tak         
 16034 takz              14287 takz        
 16040 taNk              14293 taMk        
 16043 taNg              14296 taMg        
 16044 taYc              14297 taMc        
 16045 taYj              14298 taMj        
 16046 taw               14299 taw         
 16054 taq               14306 taq         
 16068 taRq              14320 taMq        
 16100 tan               14348 tan         
 16119 tanUkf            14366 tanUkf      
 16127 tantr             14373 taMtr       
 16147 tap               14391 tap         
 16156 tapasyati         14400 tapasyati   
 16175 tam               14419 tam         
 16198 tay               14441 tay         
 16727 taraRyati         14915 taraRyati   
 16209 taralayati        14451 taralayati  
 16210 taralAyate        14452 taralAyate  
 16227 taruRayati        14469 taruRayati  
 16228 taruRAyate        14470 taruRAyate  
